Date,IMA35Med,IMA60Med,IMA85Med,IMAfMed,IMA35Avg,IMA60Avg,IMA85Avg,IMAfAvg
17-Nov-14,0.112,0.076,0.067,0,0.109,0.061,0.061,0.008
14-Nov-14,0.125,0.159,0.155,0.263,0.14,0.144,0.193,0.33
13-Nov-14,0.167,0.17,0.346,0.317,0.137,0.183,0.31,0.358
12-Nov-14,0.083,0.102,0.016,0.068,0.06,0.091,0.067,0.062
11-Nov-14,0.086,0.121,0.268,0.22,0.071,0.124,0.241,0.255
10-Nov-14,0.133,0.153,0.088,0.088,0.133,0.133,0.099,0.127
7-Nov-14,0.139,0.159,0.308,0.222,0.136,0.184,0.319,0.266
6-Nov-14,0.039,0.092,0.111,0.041,0.022,0.079,0.116,0.027
5-Nov-14,0.085,0.077,0.14,0.135,0.09,0.095,0.125,0.179
4-Nov-14,0,0,-0.018,0,0.016,-0.008,-0.021,-0.028
3-Nov-14,0.018,0.236,0.205,0.207,0.138,0.311,0.332,0.417
31-Oct-14,0.378,0.522,1.054,0.914,0.42,0.493,0.89,0.901
30-Oct-14,0.088,0.145,0.064,0.206,0.093,0.136,0.139,0.317
29-Oct-14,0.172,0.257,0.499,0.423,0.169,0.296,0.489,0.554
28-Oct-14,0.021,0.019,0.07,0.041,0.039,0.056,0.109,0.122
27-Oct-14,0,0,0,0,0.011,0.027,0.006,0.067
24-Oct-14,0.087,0.127,0.255,0.164,0.081,0.146,0.274,0.237
23-Oct-14,0.128,0.192,0.13,0.145,0.139,0.239,0.263,0.283
22-Oct-14,0.344,0.576,0.893,0.791,0.343,0.554,0.867,0.825
21-Oct-14,0.271,0.354,0.615,0.543,0.256,0.352,0.59,0.533
20-Oct-14,0.138,0.335,0.509,0.458,0.146,0.359,0.521,0.445
17-Oct-14,-0.268,-0.251,0.141,0,-0.292,-0.275,-0.018,-0.114
16-Oct-14,-0.457,-0.645,-1.21,-0.922,-0.393,-0.644,-1.161,-1.015
15-Oct-14,0.066,0,0.1,0,0.024,-0.034,0.002,-0.138
14-Oct-14,0.015,-0.1,-0.238,-0.337,0.024,-0.102,-0.231,-0.327
13-Oct-14,-0.183,-0.392,-0.472,-0.596,-0.193,-0.421,-0.54,-0.679
10-Oct-14,-0.203,-0.434,-0.853,-0.671,-0.263,-0.438,-0.814,-0.723
9-Oct-14,-0.083,-0.172,-0.075,-0.097,-0.065,-0.155,-0.169,-0.197
8-Oct-14,-0.084,-0.298,-0.625,-0.577,-0.089,-0.291,-0.587,-0.581
7-Oct-14,-0.016,0,-0.26,-0.101,0,-0.017,-0.191,-0.176
6-Oct-14,0.224,0.265,0.585,0.489,0.164,0.27,0.495,0.509
3-Oct-14,-0.07,-0.18,-0.203,-0.118,-0.081,-0.161,-0.187,-0.134
2-Oct-14,-0.084,-0.252,-0.511,-0.523,-0.094,-0.282,-0.541,-0.53
1-Oct-14,-0.037,-0.089,-0.203,-0.162,-0.028,-0.074,-0.189,-0.223
30-Sep-14,-0.018,-0.02,0,0,-0.004,-0.012,-0.002,-0.055
29-Sep-14,-0.1,-0.149,-0.03,-0.091,-0.103,-0.155,-0.095,-0.132
26-Sep-14,-0.094,-0.134,-0.449,-0.285,-0.086,-0.145,-0.333,-0.32
25-Sep-14,0.1,0.103,0.306,0.138,0.069,0.075,0.219,0.183
24-Sep-14,-0.156,-0.319,-0.406,-0.379,-0.179,-0.308,-0.407,-0.368
23-Sep-14,-0.264,-0.341,-0.649,-0.545,-0.202,-0.371,-0.635,-0.598
22-Sep-14,0.087,0.049,-0.136,-0.065,0.081,0.027,-0.08,-0.116
19-Sep-14,0.088,0.152,0.341,0.195,0.136,0.179,0.302,0.205
18-Sep-14,-0.067,0,-0.012,0,-0.067,-0.014,-0.032,-0.042
17-Sep-14,-0.06,-0.025,0,-0.034,-0.05,-0.041,-0.015,-0.067
16-Sep-14,-0.105,-0.159,-0.218,-0.163,-0.112,-0.158,-0.219,-0.202
15-Sep-14,-0.096,-0.108,-0.189,-0.195,-0.114,-0.122,-0.189,-0.223
12-Sep-14,-0.068,-0.107,-0.05,-0.069,-0.049,-0.125,-0.1,-0.114
11-Sep-14,-0.191,-0.223,-0.331,-0.338,-0.21,-0.239,-0.343,-0.369
10-Sep-14,-0.036,-0.06,-0.089,-0.13,-0.043,-0.072,-0.123,-0.186
9-Sep-14,-0.08,-0.071,0.023,0,-0.078,-0.052,0.058,0.078
8-Sep-14,0.088,0.077,0.111,0.225,0.082,0.077,0.132,0.258
5-Sep-14,0,0,0,0.038,-0.015,-0.001,-0.005,0.073
4-Sep-14,0.087,0.147,0.127,0.132,0.07,0.146,0.164,0.218
3-Sep-14,0.093,0.231,0.407,0.451,0.101,0.234,0.424,0.452
2-Sep-14,0.014,0.084,0.199,0.215,0.037,0.108,0.219,0.239
1-Sep-14,0,0,0,0,-0.005,0.029,0.01,-0.02
29-Aug-14,0,-0.056,-0.037,-0.012,0,-0.05,-0.065,0.025
28-Aug-14,0.072,0.049,-0.121,-0.078,0.092,0.033,-0.08,-0.088
27-Aug-14,0.182,0.241,0.31,0.266,0.167,0.259,0.304,0.29
26-Aug-14,0.201,0.214,0.293,0.272,0.177,0.19,0.298,0.27
25-Aug-14,0,0,0,0,0,0,0.004,0.043
22-Aug-14,0.133,0.159,0.186,0.164,0.133,0.164,0.186,0.177
21-Aug-14,0.075,0.087,0.181,0.22,0.058,0.093,0.185,0.212
20-Aug-14,0.055,0.125,0.102,0.15,0.043,0.167,0.207,0.254
19-Aug-14,0.219,0.265,0.484,0.398,0.208,0.28,0.459,0.478
18-Aug-14,0.081,0.089,0.036,0.009,0.077,0.099,0.083,0.077
15-Aug-14,0.272,0.312,0.401,0.388,0.249,0.303,0.373,0.375
14-Aug-14,0.275,0.343,0.442,0.424,0.279,0.33,0.438,0.4
13-Aug-14,0.184,0.218,0.325,0.342,0.175,0.213,0.33,0.34
12-Aug-14,0.125,0.252,0.293,0.326,0.135,0.285,0.363,0.389
11-Aug-14,0.064,0.069,0.439,0.375,0.038,0.131,0.354,0.335
8-Aug-14,0,-0.063,-0.296,-0.148,-0.009,-0.103,-0.253,-0.246
7-Aug-14,0,-0.139,-0.049,-0.108,-0.069,-0.155,-0.157,-0.195
6-Aug-14,-0.186,-0.281,-0.569,-0.421,-0.174,-0.324,-0.512,-0.522
5-Aug-14,-0.057,-0.017,0,0,-0.055,-0.016,-0.023,0.003
4-Aug-14,0.037,-0.077,0.08,0,0.04,-0.104,-0.047,-0.133
1-Aug-14,-0.35,-0.472,-0.809,-0.71,-0.319,-0.476,-0.766,-0.74
31-Jul-14,-0.191,-0.176,-0.26,-0.233,-0.204,-0.229,-0.302,-0.269
30-Jul-14,0.019,0.016,0.005,0.036,0.013,0.041,0.002,0.044
29-Jul-14,0.073,0.064,0.08,0.063,0.05,0.051,0.063,0.067
28-Jul-14,-0.032,-0.055,-0.147,-0.095,-0.034,-0.053,-0.121,-0.106
25-Jul-14,0,0.038,0.095,0.069,0.012,0.049,0.086,0.106
24-Jul-14,0.106,0.186,0.222,0.268,0.083,0.169,0.216,0.242
23-Jul-14,0.172,0.249,0.389,0.382,0.181,0.251,0.375,0.362
22-Jul-14,0.136,0.16,0.248,0.27,0.124,0.179,0.273,0.294
21-Jul-14,0.043,0,0.103,0,0.023,-0.002,0.068,0.053
18-Jul-14,-0.019,-0.118,-0.241,-0.179,-0.015,-0.107,-0.222,-0.203
17-Jul-14,0,0.011,-0.036,0,0.012,0.01,-0.017,-0.053
16-Jul-14,0.087,0.066,0.168,0.084,0.048,0.084,0.143,0.076
15-Jul-14,-0.035,0.06,0.047,0.044,-0.036,0.055,0.062,0.092
14-Jul-14,0.159,0.18,0.282,0.19,0.145,0.177,0.263,0.213
11-Jul-14,-0.057,-0.122,-0.072,-0.086,-0.071,-0.106,-0.111,-0.158
10-Jul-14,-0.119,-0.298,-0.396,-0.445,-0.102,-0.287,-0.414,-0.391
9-Jul-14,-0.169,-0.32,-0.587,-0.549,-0.149,-0.332,-0.556,-0.502
8-Jul-14,-0.078,-0.19,-0.431,-0.283,-0.11,-0.206,-0.405,-0.332
7-Jul-14,0,0.006,-0.046,0,0.001,0.006,-0.01,0.013
4-Jul-14,0.078,0.134,0.21,0.177,0.065,0.124,0.187,0.178
3-Jul-14,0.037,0.142,0.223,0.205,0.031,0.131,0.227,0.236
2-Jul-14,0.097,0.14,0.347,0.247,0.067,0.146,0.288,0.278
1-Jul-14,-0.019,0.069,0.078,0.048,-0.003,0.058,0.121,0.035
30-Jun-14,-0.006,0.008,0.064,0.061,-0.01,0.03,0.065,0.077
27-Jun-14,0.049,0.062,0.014,0,0.066,0.056,0.041,0.008
26-Jun-14,0,-0.082,-0.083,-0.084,-0.001,-0.082,-0.108,-0.134
25-Jun-14,-0.007,-0.124,-0.238,-0.137,-0.02,-0.116,-0.217,-0.162
24-Jun-14,0,-0.032,-0.071,0,0.009,-0.023,-0.07,-0.022
23-Jun-14,-0.033,-0.059,-0.107,-0.067,-0.029,-0.065,-0.118,-0.076
20-Jun-14,0,0.07,0.019,0.063,-0.016,0.069,0.071,0.071
19-Jun-14,0.175,0.199,0.32,0.303,0.151,0.215,0.287,0.264
18-Jun-14,0.089,0.071,0.109,0.104,0.067,0.05,0.104,0.09
17-Jun-14,-0.048,-0.081,-0.077,-0.035,-0.054,-0.073,-0.085,-0.092
16-Jun-14,-0.081,-0.248,-0.236,-0.263,-0.123,-0.268,-0.346,-0.33
13-Jun-14,-0.364,-0.358,-0.647,-0.614,-0.333,-0.384,-0.632,-0.621
12-Jun-14,-0.047,-0.085,-0.1,-0.105,-0.041,-0.085,-0.111,-0.12
11-Jun-14,-0.063,-0.052,-0.08,-0.055,-0.06,-0.051,-0.076,-0.034
10-Jun-14,0.04,0.088,0.087,0.138,0.044,0.094,0.084,0.169
9-Jun-14,0.151,0.253,0.321,0.328,0.161,0.253,0.341,0.285
6-Jun-14,0.175,0.167,0.296,0.271,0.145,0.187,0.278,0.288
5-Jun-14,-0.013,-0.016,-0.02,0,-0.011,-0.028,-0.036,0.005
4-Jun-14,-0.057,-0.056,0,0,-0.067,-0.051,-0.025,-0.002
3-Jun-14,-0.094,-0.06,-0.074,0,-0.134,-0.083,-0.091,-0.035
2-Jun-14,0,0.019,0.062,0.053,0.022,0.044,0.055,0.064
30-May-14,0.044,0.095,0.045,0.113,0.037,0.071,0.063,0.17
29-May-14,0.226,0.228,0.304,0.299,0.224,0.231,0.314,0.282
28-May-14,0.241,0.324,0.376,0.433,0.207,0.31,0.393,0.435
27-May-14,0.204,0.241,0.428,0.394,0.221,0.26,0.442,0.426
26-May-14,0,0,0,0,0,0.003,0.006,0.019
23-May-14,0.115,0.2,0.227,0.312,0.058,0.183,0.232,0.307
22-May-14,0.11,0.155,0.339,0.297,0.092,0.139,0.294,0.242
21-May-14,-0.103,-0.112,-0.221,-0.164,-0.124,-0.137,-0.204,-0.219
20-May-14,-0.049,-0.021,0,0,-0.09,-0.04,0.022,-0.026
19-May-14,-0.095,-0.187,-0.095,-0.048,-0.125,-0.238,-0.288,-0.252
16-May-14,-0.198,-0.319,-0.6,-0.428,-0.192,-0.357,-0.645,-0.532
15-May-14,0.087,0.108,0.062,0,0.101,0.08,0.015,0.057
14-May-14,0.271,0.284,0.346,0.422,0.268,0.291,0.357,0.409
13-May-14,0.173,0.212,0.37,0.392,0.152,0.233,0.36,0.452
12-May-14,0,0.08,0.1,0.146,-0.001,0.083,0.12,0.162
9-May-14,0.144,0.149,0.122,0.09,0.142,0.138,0.132,0.141
8-May-14,0.078,0.024,0.151,0.038,0.048,0.052,0.093,0.022
7-May-14,-0.056,-0.107,-0.279,-0.262,-0.053,-0.128,-0.29,-0.303
6-May-14,-0.011,0,-0.014,-0.039,-0.021,0.001,-0.031,-0.042
5-May-14,0,0,0,0,0,0.003,0.002,-0.002
2-May-14,0.136,0.147,0.222,0.183,0.163,0.169,0.257,0.238
1-May-14,0.084,0.05,0.076,0,0.05,0.059,0.044,-0.044
30-Apr-14,0.044,0.104,0.15,0.088,0.061,0.09,0.133,0.136
29-Apr-14,0.055,0.096,0.091,0.095,0.035,0.106,0.087,0.094
28-Apr-14,-0.055,-0.16,-0.248,-0.222,-0.055,-0.147,-0.222,-0.279
25-Apr-14,0,-0.021,-0.215,-0.187,-0.012,-0.038,-0.195,-0.207
24-Apr-14,0.119,0.093,0.153,0.1,0.114,0.11,0.177,0.129
23-Apr-14,0.128,0.261,0.276,0.315,0.126,0.255,0.288,0.341
22-Apr-14,0.191,0.336,0.59,0.557,0.192,0.35,0.596,0.53
21-Apr-14,0,0,0,0,0,-0.001,0,0.001
18-Apr-14,0,0,0,0,0,0.005,0.007,0.005
17-Apr-14,0.075,0.092,0.25,0.182,0.083,0.145,0.27,0.227
16-Apr-14,0,0.049,0.044,0.036,0.041,0.059,0.034,0.043
15-Apr-14,-0.023,-0.086,0,-0.026,-0.058,-0.112,-0.074,-0.147
14-Apr-14,-0.187,-0.42,-0.675,-0.636,-0.212,-0.418,-0.65,-0.618
11-Apr-14,-0.139,-0.202,-0.605,-0.445,-0.165,-0.253,-0.554,-0.589
10-Apr-14,0.177,0.234,0.269,0.264,0.182,0.223,0.247,0.243
9-Apr-14,0.032,-0.104,0.147,0,-0.008,-0.159,-0.062,-0.181
8-Apr-14,-0.443,-0.436,-0.912,-0.774,-0.379,-0.495,-0.904,-0.8
7-Apr-14,0.072,-0.002,-0.187,-0.224,0.052,-0.055,-0.23,-0.304
4-Apr-14,0.067,0.045,0.04,0.041,0.046,0.043,0.053,0.042
3-Apr-14,0.089,0.161,0.171,0.239,0.054,0.151,0.204,0.234
2-Apr-14,0.158,0.251,0.404,0.435,0.152,0.231,0.402,0.412
1-Apr-14,0.174,0.256,0.372,0.437,0.202,0.289,0.353,0.39
31-Mar-14,0.081,0.109,0.267,0.34,0.048,0.137,0.249,0.369
28-Mar-14,0.074,-0.026,0,0,0.063,-0.006,-0.026,-0.002
27-Mar-14,-0.084,-0.01,-0.245,-0.087,-0.11,-0.079,-0.215,-0.264
26-Mar-14,0.104,0.159,0.28,0.216,0.094,0.17,0.268,0.261
25-Mar-14,0.089,-0.009,0,0,0.118,0.032,0.033,-0.027
24-Mar-14,0,0,-0.094,0,-0.045,-0.015,-0.075,-0.001
21-Mar-14,0.086,-0.026,0.108,0.075,0.007,-0.025,0.081,0.098
20-Mar-14,-0.13,-0.121,-0.39,-0.201,-0.224,-0.184,-0.331,-0.24
