Date,IMAmix35,IMAmix60,IMAmix85,IMAflex
16-May-14,-0.198,-0.319,-0.600,-0.428
15-May-14,0.087,0.108,0.062,0.000
14-May-14,0.271,0.284,0.346,0.422
13-May-14,0.173,0.212,0.370,0.392
12-May-14,0.000,0.080,0.100,0.146
09-May-14,0.144,0.149,0.122,0.090
08-May-14,0.078,0.024,0.151,0.038
07-May-14,-0.056,-0.107,-0.279,-0.262
06-May-14,-0.011,0.000,-0.014,-0.039
05-May-14,0.000,0.000,0.000,0.000
02-May-14,0.136,0.147,0.222,0.183
01-May-14,0.084,0.050,0.076,0.000
30-Apr-14,0.044,0.104,0.150,0.088
29-Apr-14,0.055,0.096,0.091,0.095
28-Apr-14,-0.055,-0.160,-0.248,-0.222
25-Apr-14,0.000,-0.021,-0.215,-0.187
24-Apr-14,0.119,0.093,0.153,0.100
23-Apr-14,0.128,0.261,0.276,0.315
22-Apr-14,0.191,0.336,0.590,0.557
21-Apr-14,0.000,0.000,0.000,0.000
18-Apr-14,0.000,0.000,0.000,0.000
17-Apr-14,0.075,0.092,0.250,0.182
16-Apr-14,0.000,0.049,0.044,0.036
15-Apr-14,-0.023,-0.086,0.000,-0.026
14-Apr-14,-0.187,-0.420,-0.675,-0.636
11-Apr-14,-0.139,-0.202,-0.605,-0.445
10-Apr-14,0.177,0.234,0.269,0.264
09-Apr-14,0.032,-0.104,0.147,0.000
08-Apr-14,-0.443,-0.436,-0.912,-0.774
07-Apr-14,0.072,-0.002,-0.187,-0.224
04-Apr-14,0.067,0.045,0.040,0.041
03-Apr-14,0.089,0.161,0.171,0.239
02-Apr-14,0.158,0.251,0.404,0.435
01-Apr-14,0.174,0.256,0.372,0.437
31-Mar-14,0.081,0.109,0.267,0.340
28-Mar-14,0.074,-0.026,0.000,0.000
27-Mar-14,-0.084,-0.010,-0.245,-0.087
26-Mar-14,0.104,0.159,0.280,0.216
25-Mar-14,0.089,-0.009,0.000,0.000
24-Mar-14,0.000,0.000,-0.094,0.000
21-Mar-14,0.086,-0.026,0.108,0.075
20-Mar-14,-0.130,-0.121,-0.390,-0.201
19-Mar-14,0.141,0.220,0.309,0.293
18-Mar-14,0.099,0.207,0.344,0.325
17-Mar-14,0.000,-0.153,0.030,0.000
14-Mar-14,-0.091,-0.252,-0.517,-0.575
13-Mar-14,-0.117,-0.245,-0.337,-0.375
12-Mar-14,-0.070,-0.168,-0.275,-0.281
11-Mar-14,-0.101,-0.161,-0.222,-0.165
10-Mar-14,-0.018,-0.039,-0.079,0.000
07-Mar-14,0.000,0.061,0.072,0.098
06-Mar-14,0.074,0.139,0.207,0.272
05-Mar-14,0.140,0.218,0.252,0.310
04-Mar-14,0.210,0.000,0.325,0.071
03-Mar-14,-0.179,-0.096,-0.546,-0.370
