"","Date","Mid.SKSPEC3","Mid.SKSPEC4","Mid.SKSPEC5","Mid.SKSPEC6","Mid.SKSPEC7","Mid.SKSPEC8"
"625",2012-09-26,0.59037,0.57934,0.57025,0.55161,0.53532,0.51608
"631",2012-09-27,0.5897,0.57855,0.56935,0.55063,0.53429,0.515
"637",2012-09-28,0.59104,0.57989,0.57069,0.55196,0.53558,0.51629
"643",2012-10-01,0.59086,0.58005,0.57116,0.55269,0.53654,0.51747
"649",2012-10-02,0.59152,0.58104,0.57246,0.55422,0.53833,0.51944
"655",2012-10-03,0.59213,0.58149,0.57277,0.55441,0.53837,0.51936
"661",2012-10-04,0.59289,0.58218,0.57348,0.55509,0.53903,0.51996
"667",2012-10-05,0.59371,0.58325,0.57478,0.55656,0.54066,0.52174
"673",2012-10-08,0.59389,0.58344,0.57499,0.55679,0.54089,0.52198
"679",2012-10-09,0.5942,0.5837,0.57517,0.55692,0.54097,0.52203
"685",2012-10-10,0.59339,0.58254,0.57369,0.55516,0.53898,0.51981
"691",2012-10-11,0.59332,0.58245,0.57361,0.55505,0.53887,0.51968
"697",2012-10-12,0.59406,0.58335,0.5746,0.55611,0.53999,0.52085
"703",2012-10-15,0.59495,0.5841,0.57522,0.55662,0.54031,0.52109
"709",2012-10-16,0.59578,0.5852,0.57658,0.55818,0.54206,0.523
"715",2012-10-17,0.59651,0.58648,0.5784,0.56042,0.54472,0.52602
"721",2012-10-18,0.59761,0.5879,0.58012,0.56239,0.54689,0.52837
"727",2012-10-19,0.59847,0.58883,0.5811,0.56341,0.54792,0.52938
"733",2012-10-22,0.59801,0.58816,0.58024,0.56238,0.54674,0.52807
"739",2012-10-23,0.59738,0.58697,0.57861,0.56033,0.54433,0.52534
"745",2012-10-24,0.59612,0.58531,0.57664,0.55794,0.54165,0.52243
"751",2012-10-25,0.59528,0.58462,0.57596,0.5575,0.54137,0.52225
"757",2012-10-26,0.5944,0.58328,0.57417,0.55533,0.53888,0.51947
"763",2012-10-29,0.59466,0.5835,0.57434,0.55544,0.53893,0.51948
"769",2012-10-30,0.59535,0.58449,0.5756,0.55694,0.54063,0.52134
"775",2012-10-31,0.59569,0.5851,0.57647,0.55801,0.54184,0.52271
"781",2012-11-01,0.59564,0.58508,0.57647,0.55804,0.54189,0.52278
"787",2012-11-02,0.5973,0.58729,0.57925,0.5613,0.54555,0.52678
"793",2012-11-05,0.59775,0.58746,0.57915,0.56096,0.54502,0.52607
"799",2012-11-06,0.5986,0.5884,0.5802,0.56209,0.54618,0.5273
"805",2012-11-07,0.59996,0.58996,0.58194,0.56398,0.54818,0.5294
"811",2012-11-08,0.59874,0.5879,0.57908,0.56039,0.54398,0.52467
"817",2012-11-09,0.59777,0.58624,0.57676,0.55749,0.54056,0.5208
"823",2012-11-12,0.59734,0.58601,0.57673,0.55764,0.54087,0.52124
"829",2012-11-13,0.59668,0.58511,0.57561,0.55626,0.53936,0.51961
"835",2012-11-14,0.59652,0.58506,0.57568,0.55644,0.53962,0.51995
"841",2012-11-15,0.59533,0.58349,0.57373,0.55418,0.53719,0.5172
"847",2012-11-16,0.59465,0.5825,0.57245,0.55263,0.53539,0.51527
"853",2012-11-19,0.59463,0.58264,0.57275,0.55308,0.53597,0.51596
"859",2012-11-20,0.5957,0.58431,0.575,0.55579,0.53913,0.51952
"865",2012-11-21,0.59574,0.58457,0.57549,0.55644,0.53997,0.52054
"871",2012-11-22,0.59662,0.58567,0.57688,0.55805,0.54175,0.52246
"877",2012-11-23,0.59778,0.58695,0.57824,0.55949,0.54328,0.52403
"883",2012-11-26,0.59852,0.58763,0.57887,0.56006,0.54379,0.52448
